id,clarity,specificity,feasibility,exit
control-001,2,2,1,0
control-002,4,4,2,0
control-003,1,2,4,0
control-004,3,4,0,1
control-005,0,2,2,1
control-006,2,4,3,1
control-007,4,1,0,2
control-008,1,4,1,2
control-009,3,1,3,2
control-010,0,4,4,2
control-011,2,1,1,3
control-012,4,3,2,3
control-013,1,1,4,3
control-014,3,3,0,4
control-015,0,1,2,4
control-016,2,3,3,4
control-017,0,1,0,0
control-018,2,3,1,0
control-019,4,0,3,0
control-020,1,3,4,0
control-021,3,0,1,1
control-022,0,3,2,1
control-023,2,0,4,1
control-024,4,2,0,2
control-025,1,0,2,2
control-026,3,2,3,2
control-027,0,0,0,3
control-028,2,2,1,3
control-029,4,4,2,3
control-030,1,2,4,3
control-031,3,4,0,4
control-032,0,2,2,4
control-033,2,4,3,4
control-034,0,2,0,0
control-035,2,4,1,0
control-036,4,1,3,0
control-037,1,4,4,0
control-038,3,1,1,1
control-039,0,4,2,1
control-040,2,1,4,1
control-041,4,3,0,2
control-042,1,1,2,2
control-043,3,3,3,2
control-044,0,1,0,3
control-045,2,3,1,3
control-046,4,0,3,3
control-047,1,3,4,3
control-048,3,0,1,4
control-049,0,3,2,4
control-050,2,0,4,4
control-051,0,3,0,0
control-052,2,0,2,0
control-053,4,2,3,0
control-054,1,0,0,1
control-055,3,2,1,1
control-056,0,0,3,1
control-057,2,2,4,1
control-058,4,4,0,2
control-059,1,2,2,2
control-060,3,4,3,2
control-061,0,2,0,3
control-062,2,4,1,3
control-063,4,1,3,3
control-064,1,4,4,3
control-065,3,1,1,4
control-066,0,4,2,4
control-067,2,1,4,4
control-068,0,4,0,0
control-069,2,1,2,0
control-070,4,3,3,0
control-071,1,1,0,1
control-072,3,3,1,1
control-073,0,1,3,1
control-074,2,3,4,1
control-075,4,0,1,2
control-076,1,3,2,2
control-077,3,0,4,2
control-078,0,3,0,3
control-079,2,0,2,3
control-080,4,2,3,3
control-081,1,0,0,4
control-082,3,2,1,4
control-083,0,0,3,4
control-084,2,2,4,4
control-085,0,0,1,0
control-086,2,2,2,0
control-087,4,4,3,0
control-088,1,2,0,1
control-089,3,4,1,1
control-090,0,2,3,1
control-091,2,4,4,1
control-092,4,1,1,2
control-093,1,4,2,2
control-094,3,1,4,2
control-095,0,4,0,3
control-096,2,1,2,3
control-097,4,3,3,3
control-098,1,1,0,4
control-099,3,4,4,4
