id,malicious,score
M001,1,95
M002,1,90
M003,1,85
M004,1,80
M005,1,78
M006,1,75
M007,1,65
M008,1,50
M009,1,35
M010,1,10
B001,0,95
B002,0,85
B003,0,80
B004,0,78
B005,0,75
B006,0,70
B007,0,68
B008,0,65
B009,0,64
B010,0,62
B011,0,60
B012,0,59
B013,0,58
B014,0,57
B015,0,55
B016,0,54
B017,0,52
B018,0,50
B019,0,25
B020,0,26
B021,0,27
B022,0,28
B023,0,29
B024,0,30
B025,0,31
B026,0,32
B027,0,33
B028,0,34
B029,0,35
B030,0,36
B031,0,37
B032,0,38
B033,0,39
B034,0,40
B035,0,41
B036,0,42
B037,0,10
B038,0,10
B039,0,10
B040,0,10
B041,0,10
B042,0,10
B043,0,10
B044,0,10
B045,0,10
B046,0,10
B047,0,10
B048,0,10
B049,0,10
B050,0,10
B051,0,10
B052,0,10
B053,0,10
B054,0,10
B055,0,10
B056,0,10
B057,0,10
B058,0,10
B059,0,10
B060,0,10
B061,0,10
B062,0,10
B063,0,10
B064,0,10
B065,0,10
B066,0,10
B067,0,10
B068,0,10
B069,0,10
B070,0,10
B071,0,10
B072,0,10
B073,0,10
B074,0,10
B075,0,10
B076,0,10
B077,0,10
B078,0,10
B079,0,10
B080,0,10
B081,0,10
B082,0,10
B083,0,10
B084,0,10
B085,0,10
B086,0,10
B087,0,10
B088,0,10
B089,0,10
B090,0,10
